0024A382	VRWorkshops_mod_Legendary_Weapon_NERF	WEAP	peEnchantments	ADD	peEnchantments	VRWorkshopShared_ench_mod_LegendaryNerfPerk			0.00	Nerfed for VR attacks.	NONE	00000000
002492BA	mod_PlasmaGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PlasmaGun_Scope_ScopeShort_Recon	002492E2
002492BA	mod_PlasmaGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PlasmaGun_Scope_ScopeShort_Recon	002492E2
002492BA	mod_PlasmaGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PlasmaGun_Scope_ScopeShort_Recon	002492E2
002492BA	mod_PlasmaGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PlasmaGun_Scope_ScopeShort_Recon	002492E2
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B9	mod_PipeSyringer_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeSyringer_Scope_ScopeShort_Recon	002492E1
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B8	mod_PipeRevolver_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeRevolver_Scope_ScopeShort_Recon	002492E0
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B7	mod_PipeGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeGun_Scope_ScopeShort_Recon	002492DF
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B6	mod_PipeBoltAction_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_PipeBoltAction_Scope_ScopeShort_Recon	002492DE
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B5	mod_LaserMusket_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserMusket_Scope_ScopeShort_Recon	002492DD
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	pzZoomData	SET	pzZoomData	ZM_Recon_Scope_x4			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	fAimModelBaseStability	MUL+ADD	fAimModelBaseStability	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	fAimModelConeIronSightsMultiplier	MUL+ADD	fAimModelConeIronSightsMultiplier	-0.200		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	fAttackActionPointCost	MUL+ADD	fAttackActionPointCost	0.300		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	fSightedTransitionSeconds	MUL+ADD	fSightedTransitionSeconds	0.100		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	fweight	MUL+ADD	fweight	0.350		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	ivalue	MUL+ADD	ivalue	1.000		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	peEnchantments	ADD	peEnchantments	EnchReconScopeEquipped			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScope			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	HasScopeRecon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B4	mod_LaserGun_Scope_ScopeShort_Recon	WEAP	pkKeywords	ADD	pkKeywords	dn_HasScope_Recon			0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_LaserGun_Scope_ScopeShort_Recon	002492DC
002492B3	mod_InstituteLaserGun_Scope_ScopeShort_Recon	WEAP	bHasScope	SET	bHasScope	true		0.00	Tracks targets. Improved magnification. Superior sighted accuracy.	miscmod_mod_InstituteLaserGun_Scope_ScopeShort_Recon	002492DB
